seq_num, beacon_timestamp, beacon_interval (us), timestamp_deviation (us)
3081,60077263426,79401,22999
3082,60077370963,107537,-5137
3083,60077471088,100125,2275
3084,60077578549,107461,-5061
3087,60077775444,96252,6148
3106,60078497885,99961,2439
3111,60078797218,69425,32975
3112,60078917158,119940,-17540
3115,60079125623,109125,-6725
3116,60079206809,81186,21214
3117,60079329747,122938,-20538
3125,60079616403,88000,14400
3132,60080028235,100542,1858
3133,60080131524,103289,-889
3136,60080540260,206767,-104367
3137,60080640398,100138,2262
3138,60080760542,120144,-17744
3144,60080949873,101457,943
3145,60081062676,112803,-10403
3146,60081159125,96449,5951
3147,60081267017,107892,-5492
3150,60081628988,268911,-166511
3151,60081682504,53516,48884
3152,60081766796,84292,18108
3153,60081906870,140074,-37674
3154,60081987948,81078,21322
3155,60082076321,88373,14027
3156,60082193612,117291,-14891
3157,60082281081,87469,14931
3158,60082381191,100110,2290
3159,60082508049,126858,-24458
3160,60082619686,111637,-9237
3166,60082897769,106090,-3690
3167,60083009359,111590,-9190
3168,60083100284,90925,11475
3169,60083200391,100107,2293
3170,60083307093,106702,-4302
3171,60083444662,137569,-35169
3172,60083509899,65237,37163
3173,60083612297,102398,2
3174,60083713625,101328,1072
3175,60083817089,103464,-1064
3176,60083919481,102392,8
3177,60084021906,102425,-25
3178,60084163002,141096,-38696
3179,60084224393,61391,41009
3180,60084352996,128603,-26203
3181,60084431494,78498,23902
3182,60084533895,102401,-1
3183,60084695345,161450,-59050
3184,60084736393,41048,61352
3185,60084873283,136890,-34490
3186,60084943890,70607,31793
3187,60085045891,102001,399
3188,60085149142,103251,-851
3196,60085555611,182516,-80116
3208,60086097405,99431,2969
3209,60086170003,72598,29802
3213,60086477213,81875,20525
3214,60086579609,102396,4
3215,60086685005,105396,-2996
3216,60086802099,117094,-14694
3217,60086889119,87020,15380
3223,60087091646,98699,3701
3233,60087501190,82265,20135
3245,60088032403,118627,-16227
3246,60088140520,108117,-5717
3247,60088245311,104791,-2391
3248,60088322737,77426,24974
3249,60088425207,102470,-70
3274,60089759116,97412,4988
3275,60089856418,97302,5098
3276,60089961349,104931,-2531
3277,60090061379,100030,2370
3278,60090163595,102216,184
3279,60090274770,111175,-8775
3280,60090384159,109389,-6989
3281,60090508000,123841,-21441
3282,60090591878,83878,18522
3283,60090701035,109157,-6757
3284,60090804928,103893,-1493
3285,60090882739,77811,24589
3286,60091010556,127817,-25417
3287,60091094601,84045,18355
3288,60091187598,92997,9403
3289,60091289993,102395,5
3290,60091392390,102397,3
3291,60091508017,115627,-13227
3292,60091597191,89174,13226
3293,60091707748,110557,-8157
3294,60091801990,94242,8158
3295,60091906671,104681,-2281
3303,60092237321,122672,-20272
3304,60092314008,76687,25713
3313,60092621194,102398,2
3314,60092729093,107899,-5499
3315,60092829189,100096,2304
3320,60093338006,89852,12548
3325,60093542797,92751,9649
3328,60093757230,112040,-9640
3333,60094078649,126232,-23832
3334,60094171404,92755,9645
3335,60094259615,88211,14189
3336,60094374018,114403,-12003
3342,60094669213,99708,2692
3343,60094781539,112326,-9926
3344,60094873998,92459,9941
3345,60094976403,102405,-5
3346,60095098310,121907,-19507
3349,60095284285,77929,24471
3350,60095385993,101708,692
3351,60095508213,122220,-19820
3354,60095795721,102531,-131
3355,60095897991,102270,130
3356,60096006659,108668,-6268
3357,60096104148,97489,4911
3358,60096272119,167971,-65571
3359,60096340264,68145,34255
3360,60096410001,69737,32663
3361,60096512404,102403,-3
3366,60097025715,67370,35030
3367,60097148905,123190,-20790
3368,60097229199,80294,22106
3369,60097338391,109192,-6792
3370,60097459734,121343,-18943
3371,60097536414,76680,25720
3372,60097643477,107063,-4663
3378,60097865785,124595,-22195
3379,60097945990,80205,22195
3382,60098253191,102375,25
3383,60098396591,143400,-41000
3386,60098662793,102384,16
3395,60099098104,64399,38001
3396,60099174807,76703,25697
3397,60099279767,104960,-2560
3400,60099508070,92203,10197
3401,60099584467,76397,26003
3414,60099895200,83784,18616
3415,60100010705,115505,-13105
3416,60100096872,86167,16233
3417,60100198790,101918,482
3418,60100301196,102406,-6
3419,60100403613,102417,-17
3420,60100507797,104184,-1784
3424,60100715260,97853,4547
3427,60100929677,90736,11664
3428,60101017997,88320,14080
3429,60101120403,102406,-6
3430,60101237518,117115,-14715
3431,60101346421,108903,-6503
3432,60101427591,81170,21230
3433,60101531340,103749,-1349
3434,60101632658,101318,1082
3435,60101756579,123921,-21521
3436,60101837191,80612,21788
3437,60101992216,155025,-52625
3438,60102048199,55983,46417
3439,60102166417,118218,-15818
3440,60102246790,80373,22027
3441,60102349214,102424,-24
3442,60102570114,220900,-118500
3443,60102656390,86276,16124
3447,60102861193,102379,21
3448,60103007846,146653,-44253
3449,60103065995,58149,44251
3450,60103168404,102409,-9
3470,60103987603,99064,3336
3471,60104090012,102409,-9
3472,60104195777,105765,-3365
3477,60104499607,41699,60701
3478,60104607809,108202,-5802
3479,60104704400,96591,5809
3480,60104828620,124220,-21820
3481,60104909210,80590,21810
3482,60105011602,102392,8
3483,60105121668,110066,-7666
3495,60105625991,75142,27258
3496,60105728415,102424,-24
3497,60105856527,128112,-25712
3498,60105933190,76663,25737
3499,60106035612,102422,-22
3500,60106138002,102390,10
3501,60106240391,102389,11
3502,60106344342,103951,-1551
3503,60106547613,203271,-100871
3504,60106650007,102394,6
3505,60106778113,128106,-25706
3506,60106882248,104135,-1735
3507,60106982927,100679,1721
3508,60107059591,76664,25736
3509,60107170902,111311,-8911
3515,60107576351,68211,34189
3516,60107684070,107719,-5319
3519,60107881635,92751,9649
3520,60107982633,100998,1402
3521,60108092360,109727,-7327
3522,60108215252,122892,-20492
3523,60108288468,73216,29184
3524,60108393586,105118,-2718
3525,60108509699,116113,-13713
3526,60108595614,85915,16485
3527,60108697997,102383,17
3528,60108800415,102418,-18
3529,60108928598,128183,-25783
3530,60109007166,78568,23832
3531,60109107590,100424,1976
3532,60109240733,133143,-30743
3533,60109313135,72402,29998
3534,60109455813,142678,-40278
3535,60109539409,83596,18804
3536,60109638341,98932,3468
3546,60109926810,99877,2523
3554,60110236104,104514,-2114
3555,60110336391,100287,2113
3556,60110438794,102403,-3
3561,60110750139,106524,-4124
3564,60110950790,102386,14
3565,60111053207,102417,-17
3566,60111157432,104225,-1825
3571,60111363894,105892,-3492
3572,60111481587,117693,-15293
3588,60112179607,101444,956
3589,60112282000,102393,7
3590,60112392341,110341,-7941
3591,60112519120,126779,-24379
3592,60112589193,70073,32327
3593,60112693399,104206,-1806
3594,60112807465,114066,-11666
3595,60112896413,88948,13452
3596,60113005066,108653,-6253
3597,60113101207,96141,6259
3598,60113203608,102401,-1
3599,60113305999,102391,9
3609,60114022797,80287,22113
3610,60114146554,123757,-21357
3611,60114227620,81066,21334
3614,60114552899,105830,-3430
3615,60114658409,105510,-3110
3616,60114739648,81239,21161
3617,60114867983,128335,-25935
3618,60114951788,83805,18595
3619,60115047214,95426,6974
3620,60115149191,101977,423
3621,60115251591,102400,0
3622,60115354169,102578,-178
3623,60115456405,102236,164
3624,60115572573,116168,-13768
3625,60115678366,105793,-3393
3626,60115776445,98079,4321
3634,60116070791,94549,7851
3640,60116275590,100459,1941
3641,60116419696,144106,-41706
3644,60116583000,102070,330
3653,60117099358,87049,15351
3654,60117223185,123827,-21427
3655,60117317265,94080,8320
3656,60117405969,88704,13696
3657,60117513347,107378,-4978
3658,60117606817,93470,8930
3667,60117916959,84920,17480
3668,60118016932,99973,2427
3669,60118138148,121216,-18816
3670,60118222711,84563,17837
3671,60118327425,104714,-2314
3672,60118425992,98567,3833
3673,60118528412,102420,-20
3674,60118630982,102570,-170
3682,60118938005,80911,21489
3683,60119040411,102406,-6
3684,60119153182,112771,-10371
3685,60119260519,107337,-4937
3688,60119556669,203861,-101461
3689,60119657015,100346,2054
3690,60119761643,104628,-2228
3691,60119859591,97948,4452
3692,60119997530,137939,-35539
3693,60120064411,66881,35519
3694,60120172012,107601,-5201
3695,60120269191,97179,5221
3696,60120379035,109844,-7444
3697,60120698545,319510,-217110
3698,60120781191,82646,19754
3699,60120911076,129885,-27485
3702,60121109841,98893,3507
3703,60121194526,84685,17715
3704,60121293194,98668,3732
3705,60121414513,121319,-18919
3706,60121508221,93708,8692
3707,60121605352,97131,5269
3708,60121702816,97464,4936
3709,60121811324,108508,-6108
3716,60122172627,156383,-53983
3717,60122241570,68943,33457
3727,60122631540,109549,-7149
3728,60122734502,102962,-562
3729,60122829191,94689,7711
3730,60122931614,102423,-23
3736,60123341191,102393,7
3741,60123561833,115915,-13515
3742,60123648725,86892,15508
3743,60123751140,102415,-15
3744,60123874399,123259,-20859
3747,60124058001,98477,3923
3752,60124467590,100705,1695
3753,60124577614,110024,-7624
3754,60124698988,121374,-18974
3761,60124982457,104021,-1621
3762,60125082017,99560,2840
3763,60125184391,102374,26
3764,60125287659,103268,-868
3765,60125389211,101552,848
3766,60125500728,111517,-9117
3767,60125593995,93267,9133
3768,60125718890,124895,-22495
3769,60125808871,89981,12419
3770,60125910777,101906,494
3771,60126008556,97779,4621
3772,60126136537,127981,-25581
3773,60126208391,71854,30546
3774,60126318741,110350,-7950
3775,60126429950,111209,-8809
3776,60126515723,85773,16627
3777,60126636261,120538,-18138
3782,60127132999,100846,1554
3799,60127744811,101450,950
3802,60127950571,101704,696
3803,60128051616,101045,1355
3804,60128154008,102392,8
3805,60128256456,102448,-48
3808,60128566829,206179,-103779
3809,60128666291,99462,2938
3810,60128768948,102657,-257
3817,60129075606,100132,2268
3821,60129289438,111403,-9003
3824,60129587874,75888,26512
3841,60130101201,103992,-1592
3842,60130208498,107297,-4897
3843,60130304398,95900,6500
3844,60130406807,102409,-9
3845,60130555759,148952,-46552
3846,60130612122,56363,46037
3847,60130728733,116611,-14211
3848,60130816564,87831,14569
3849,60130919086,102522,-122
3850,60131035062,115976,-13576
3856,60131250947,112487,-10087
3857,60131328401,77454,24946
3858,60131533603,205202,-102802
3859,60131635619,102016,384
3860,60131745296,109677,-7277
3871,60132352438,93604,8796
3872,60132557281,204843,-102443
3873,60132667909,110628,-8228
3874,60132795162,127253,-24853
3875,60132864407,69245,33155
3876,60132973285,108878,-6478
3879,60133172272,102192,208
3884,60133709047,117672,-15272
3885,60133787958,78911,23489
3886,60133889148,101190,1210
3889,60134110840,117204,-14804
3890,60134195616,84776,17624
3891,60134301543,105927,-3527
3892,60134409946,108403,-6003
3909,60135120194,105051,-2651
3912,60135340106,103307,-907
3913,60135424451,84345,18055
3918,60135739493,110289,-7889
3919,60135834265,94772,7628
3920,60135936479,102214,186
3921,60136040108,103629,-1229
