seq_num, beacon_timestamp, beacon_interval, timestamp_deviation
3259,899145933187,102400,0
3260,899146035587,102400,0
3261,899146137987,102400,0
3262,899146240387,102400,0
3263,899146342787,102400,0
3264,899146445187,102400,0
3267,899146649987,102400,0
3268,899146752387,102400,0
3269,899146854787,102400,0
3270,899146957220,102433,-33
3271,899147059587,102367,33
3272,899147161987,102400,0
3273,899147264387,102400,0
3274,899147366787,102400,0
3275,899147471161,104374,-1974
3276,899147571587,100426,1974
3288,899148185987,102400,0
3289,899148288387,102400,0
3290,899148390787,102400,0
3291,899148493187,102400,0
3292,899148595650,102463,-63
3293,899148697987,102337,63
3294,899148800387,102400,0
3295,899148902787,102400,0
3296,899149005187,102400,0
3297,899149107587,102400,0
3298,899149209987,102400,0
3299,899149312387,102400,0
3300,899149414923,102536,-136
3301,899149517187,102264,136
3302,899149619587,102400,0
3303,899149721987,102400,0
3304,899149824453,102466,-66
3305,899149926787,102334,66
3306,899150029187,102400,0
3307,899150131587,102400,0
3308,899150233987,102400,0
3309,899150336387,102400,0
3310,899150438787,102400,0
3311,899150541187,102400,0
3312,899150643587,102400,0
3313,899150747195,103608,-1208
3314,899150848387,101192,1208
3315,899150950787,102400,0
3316,899151053187,102400,0
3317,899151155587,102400,0
3318,899151257987,102400,0
3319,899151360411,102424,-24
3320,899151462787,102376,24
3321,899151565187,102400,0
3324,899151872387,102400,0
3325,899151974787,102400,0
3326,899152077187,102400,0
3327,899152179587,102400,0
3331,899152589298,102511,-111
3332,899152691587,102289,111
3333,899152793987,102400,0
3334,899152896387,102400,0
3335,899152998787,102400,0
3336,899153101187,102400,0
3337,899153203733,102546,-146
3338,899153305987,102254,146
3339,899153408387,102400,0
3340,899153510787,102400,0
3341,899153613187,102400,0
3342,899153715587,102400,0
3343,899153817987,102400,0
3344,899153920387,102400,0
3345,899154022812,102425,-25
3346,899154125187,102375,25
3347,899154227587,102400,0
3348,899154329987,102400,0
3349,899154432387,102400,0
3350,899154534787,102400,0
3351,899154637187,102400,0
3352,899154739587,102400,0
3353,899154841987,102400,0
3354,899154944387,102400,0
3355,899155046787,102400,0
3356,899155149187,102400,0
3357,899155251587,102400,0
3358,899155353987,102400,0
3359,899155456387,102400,0
3360,899155558787,102400,0
3361,899155661187,102400,0
3362,899155763632,102445,-45
3363,899155865987,102355,45
3364,899155968387,102400,0
3365,899156070787,102400,0
3366,899156173187,102400,0
3367,899156275587,102400,0
3368,899156377987,102400,0
3369,899156480387,102400,0
3370,899156582787,102400,0
3371,899156685187,102400,0
3372,899156787587,102400,0
3373,899156889987,102400,0
3374,899156992387,102400,0
3375,899157094787,102400,0
3376,899157197187,102400,0
3377,899157299587,102400,0
3378,899157401987,102400,0
3379,899157505605,103618,-1218
3380,899157606787,101182,1218
3381,899157709187,102400,0
3382,899157811587,102400,0
3383,899157913987,102400,0
3384,899158016387,102400,0
3385,899158118787,102400,0
3386,899158221187,102400,0
3387,899158323587,102400,0
3388,899158425987,102400,0
3389,899158528387,102400,0
3390,899158630787,102400,0
3391,899158733187,102400,0
3392,899158835587,102400,0
3393,899158937987,102400,0
3394,899159040387,102400,0
3395,899159142787,102400,0
3398,899159449987,102400,0
3399,899159552387,102400,0
3400,899159654787,102400,0
3403,899159961987,102275,125
3404,899160064387,102400,0
3405,899160166787,102400,0
3406,899160269187,102400,0
3407,899160371587,102400,0
3408,899160473987,102400,0
3409,899160576387,102400,0
3410,899160678787,102400,0
3411,899160781187,102400,0
3412,899160883587,102400,0
3413,899160985987,102400,0
3414,899161088387,102400,0
3415,899161190787,102400,0
3418,899161497990,102403,-3
3419,899161600387,102397,3
3420,899161702787,102400,0
3423,899162009987,102400,0
3424,899162112387,102400,0
3425,899162214787,102400,0
3426,899162317187,102400,0
3429,899162629492,107505,-5105
3430,899162726787,97295,5105
3433,899163033987,102400,0
3434,899163136387,102400,0
3435,899163238787,102400,0
3436,899163341187,102400,0
3437,899163443587,102400,0
3438,899163545987,102400,0
3439,899163648387,102400,0
3440,899163750787,102400,0
3441,899163853187,102400,0
3442,899163955587,102400,0
3443,899164057987,102400,0
3444,899164160387,102400,0
3445,899164262787,102400,0
3446,899164365261,102474,-74
3450,899164672387,102400,0
3451,899164774787,102400,0
3452,899164877363,102576,-176
3453,899164979709,102346,54
3454,899165081987,102278,122
3455,899165184387,102400,0
3456,899165286787,102400,0
3457,899165389187,102400,0
3458,899165491587,102400,0
3459,899165593987,102400,0
3460,899165696389,102402,-2
3461,899165798787,102398,2
3462,899165901187,102400,0
3465,899166105987,102400,0
3466,899166208387,102400,0
3467,899166310787,102400,0
3468,899166413187,102400,0
3469,899166515587,102400,0
3470,899166617987,102400,0
3471,899166720387,102400,0
3472,899166822871,102484,-84
3473,899166925187,102316,84
3474,899167027587,102400,0
3475,899167129987,102400,0
3476,899167232387,102400,0
3477,899167334787,102400,0
3481,899167744387,102400,0
3482,899167846819,102432,-32
3483,899167949187,102368,32
3484,899168051587,102400,0
3485,899168153987,102400,0
3486,899168256387,102400,0
3487,899168358787,102400,0
3488,899168461187,102400,0
3491,899168665987,102400,0
3492,899168768387,102400,0
3493,899168870787,102400,0
3494,899168973187,102400,0
3495,899169075587,102400,0
3496,899169177987,102400,0
3497,899169280387,102400,0
3498,899169382787,102400,0
3499,899169485187,102400,0
3502,899169792387,102400,0
3503,899169894787,102400,0
3504,899169997187,102400,0
3505,899170099587,102400,0
3506,899170201987,102400,0
3507,899170304387,102400,0
3508,899170406787,102400,0
3509,899170509187,102400,0
3510,899170611587,102400,0
3511,899170713987,102400,0
3512,899170816387,102400,0
3513,899170918787,102400,0
3514,899171021187,102400,0
3515,899171123587,102400,0
3516,899171225987,102400,0
3517,899171328387,102400,0
3518,899171430787,102400,0
3519,899171533187,102400,0
3520,899171635587,102400,0
3521,899171737987,102400,0
3522,899171840387,102400,0
3523,899171942787,102400,0
3526,899172147587,102400,0
3527,899172249987,102400,0
3530,899172557187,102400,0
3531,899172659587,102400,0
3535,899172864387,102400,0
3536,899172966787,102400,0
3537,899173069187,102400,0
3538,899173171587,102400,0
3539,899173273987,102400,0
3540,899173376387,102400,0
3541,899173478787,102400,0
3542,899173581187,102400,0
3543,899173683587,102400,0
3544,899173785987,102400,0
3545,899173888387,102400,0
3546,899173990787,102400,0
3547,899174093187,102400,0
3550,899174297987,102400,0
3553,899174502798,102373,27
3554,899174605187,102389,11
3555,899174707598,102411,-11
3556,899174809987,102389,11
3557,899174912387,102400,0
3558,899175014787,102400,0
3559,899175117187,102400,0
3560,899175219587,102400,0
3561,899175321987,102400,0
3562,899175424434,102447,-47
3563,899175526787,102353,47
3564,899175629187,102400,0
3567,899175833987,102400,0
3568,899175936387,102400,0
3569,899176038787,102400,0
3570,899176141187,102400,0
3571,899176243587,102400,0
3572,899176345987,102400,0
3573,899176448387,102400,0
3574,899176550787,102400,0
3575,899176653187,102400,0
3576,899176755587,102400,0
3577,899176857987,102400,0
3578,899176960387,102400,0
3579,899177062787,102400,0
3580,899177165187,102400,0
3581,899177267587,102400,0
3582,899177369987,102400,0
3583,899177473468,103481,-1081
3584,899177574787,101319,1081
3585,899177682033,107246,-4846
3586,899177779587,97554,4846
3587,899177881987,102400,0
3588,899177984387,102400,0
3589,899178086787,102400,0
3590,899178189187,102400,0
3591,899178291587,102400,0
3592,899178393987,102400,0
3593,899178496387,102400,0
3594,899178598787,102400,0
3595,899178701187,102400,0
3596,899178803587,102400,0
3597,899178905987,102400,0
3598,899179008387,102400,0
3599,899179110787,102400,0
3600,899179213187,102400,0
3601,899179315587,102400,0
3602,899179417987,102400,0
3603,899179520387,102400,0
3604,899179622787,102400,0
3605,899179725187,102400,0
3606,899179827587,102400,0
3607,899179929987,102400,0
3608,899180032387,102400,0
3609,899180134787,102400,0
3610,899180237187,102400,0
3611,899180339587,102400,0
3612,899180443362,103775,-1375
3613,899180544387,101025,1375
3614,899180646787,102400,0
3627,899181261187,102400,0
3630,899181465987,102400,0
3631,899181568387,102400,0
3632,899181670787,102400,0
3633,899181773187,102400,0
3634,899181875620,102433,-33
3635,899181977987,102367,33
3636,899182080387,102400,0
3637,899182182787,102400,0
3638,899182285187,102400,0
3639,899182387587,102400,0
3642,899182694787,102366,34
3643,899182797187,102400,0
3644,899182899587,102400,0
3645,899183001987,102400,0
3648,899183206787,102400,0
3649,899183309187,102400,0
3650,899183411587,102400,0
3651,899183513987,102400,0
3652,899183616387,102400,0
3653,899183718787,102400,0
3654,899183821187,102400,0
3655,899183923587,102400,0
3656,899184025987,102400,0
3657,899184128387,102400,0
3658,899184230787,102400,0
3659,899184333187,102400,0
3660,899184435587,102400,0
3661,899184537987,102400,0
3662,899184640387,102400,0
3663,899184742787,102400,0
3664,899184845187,102400,0
3665,899184947587,102400,0
3666,899185050070,102483,-83
3667,899185152387,102317,83
3668,899185254787,102400,0
3669,899185357187,102400,0
3672,899185562066,102479,-79
3673,899185664387,102321,79
3674,899185766787,102400,0
3675,899185869187,102400,0
3676,899185971587,102400,0
3677,899186073987,102400,0
3678,899186176387,102400,0
3679,899186278787,102400,0
3680,899186381187,102400,0
3681,899186483587,102400,0
3684,899186790787,102400,0
3685,899186893187,102400,0
3686,899186995587,102400,0
3687,899187097987,102400,0
3688,899187200387,102400,0
3689,899187302787,102400,0
3690,899187405187,102400,0
3693,899187712387,102400,0
3694,899187814787,102400,0
3695,899187917187,102400,0
3696,899188019587,102400,0
3697,899188121987,102400,0
3698,899188224387,102400,0
3699,899188326787,102400,0
3700,899188429187,102400,0
3701,899188531587,102400,0
3704,899188838787,102400,0
3705,899188941187,102400,0
3706,899189043587,102400,0
3709,899189350787,102400,0
3710,899189453203,102416,-16
3711,899189555587,102384,16
3712,899189657987,102400,0
3713,899189760387,102400,0
3714,899189862787,102400,0
3715,899189965187,102400,0
3716,899190068838,103651,-1251
3717,899190169987,101149,1251
3718,899190272387,102400,0
3719,899190374787,102400,0
3720,899190480240,105453,-3053
3721,899190579587,99347,3053
3722,899190681987,102400,0
3723,899190784387,102400,0
3724,899190887465,103078,-678
3725,899190989290,101825,575
3726,899191091587,102297,103
3729,899191398787,102400,0
3730,899191501187,102400,0
3731,899191603587,102400,0
3732,899191705987,102400,0
3733,899191808387,102400,0
3734,899191910823,102436,-36
3735,899192013187,102364,36
3736,899192115609,102422,-22
3737,899192217987,102378,22
3738,899192320387,102400,0
3739,899192422787,102400,0
3740,899192525728,102941,-541
3741,899192627587,101859,541
3742,899192734990,107403,-5003
3743,899192832387,97397,5003
3744,899192934787,102400,0
3745,899193037187,102400,0
3746,899193139587,102400,0
3747,899193241987,102400,0
3748,899193344387,102400,0
3749,899193446787,102400,0
3750,899193549187,102400,0
3751,899193651587,102400,0
3752,899193753987,102400,0
3753,899193856387,102400,0
3754,899193958787,102400,0
3755,899194061187,102400,0
3756,899194163587,102400,0
3757,899194265987,102400,0
3758,899194368387,102400,0
3759,899194470787,102400,0
3760,899194573187,102400,0
3761,899194675587,102400,0
3762,899194777987,102400,0
3763,899194880387,102400,0
3764,899194982787,102400,0
3765,899195085245,102458,-58
3768,899195289987,102400,0
3769,899195392387,102400,0
3770,899195494787,102400,0
3771,899195597187,102400,0
3772,899195699587,102400,0
3773,899195801987,102400,0
3774,899195904387,102400,0
3775,899196006787,102400,0
3776,899196109187,102400,0
3777,899196211587,102400,0
3778,899196313987,102400,0
3779,899196416387,102400,0
3780,899196518787,102400,0
3781,899196621187,102400,0
3782,899196723587,102400,0
3783,899196825987,102400,0
3784,899196928387,102400,0
3785,899197030787,102400,0
3786,899197133187,102400,0
3787,899197235587,102400,0
3788,899197337987,102400,0
3789,899197440387,102400,0
3790,899197543256,102869,-469
3791,899197645187,101931,469
3792,899197747587,102400,0
3793,899197849987,102400,0
3794,899197952387,102400,0
3795,899198054787,102400,0
3796,899198157187,102400,0
3797,899198259587,102400,0
3798,899198361987,102400,0
3799,899198464387,102400,0
3800,899198566787,102400,0
3801,899198669187,102400,0
3802,899198771591,102404,-4
3803,899198873987,102396,4
3804,899198976387,102400,0
3805,899199078787,102400,0
3806,899199181187,102400,0
3807,899199283587,102400,0
3810,899199590787,102345,55
3811,899199693187,102400,0
3812,899199795587,102400,0
3813,899199897987,102400,0
3817,899200205187,102400,0
3818,899200307587,102400,0
3819,899200409987,102400,0
3820,899200512387,102400,0
3821,899200614787,102400,0
3822,899200717187,102400,0
3823,899200819587,102400,0
3824,899200921987,102400,0
3825,899201024464,102477,-77
3826,899201126787,102323,77
3827,899201229187,102400,0
3828,899201331587,102400,0
3829,899201433987,102400,0
3830,899201536387,102400,0
3831,899201638787,102400,0
3832,899201741187,102400,0
3833,899201843587,102400,0
3834,899201945987,102400,0
3835,899202048387,102400,0
3836,899202150787,102400,0
3837,899202253187,102400,0
3838,899202355587,102400,0
3839,899202457987,102400,0
3842,899202765187,102400,0
3843,899202867679,102492,-92
3844,899202969987,102308,92
3845,899203072387,102400,0
3846,899203174787,102400,0
3847,899203277187,102400,0
3848,899203379587,102400,0
3852,899203584387,102400,0
3853,899203686787,102400,0
3854,899203789187,102400,0
3855,899203891587,102400,0
3856,899203993987,102400,0
3857,899204096387,102400,0
3858,899204198787,102400,0
3859,899204301187,102400,0
3860,899204403587,102400,0
3861,899204505987,102400,0
3862,899204608387,102400,0
3863,899204710787,102400,0
3864,899204813187,102400,0
3867,899205018031,102444,-44
3868,899205120387,102356,44
3869,899205222787,102400,0
3870,899205325187,102400,0
3871,899205427587,102400,0
3872,899205529987,102400,0
3873,899205632387,102400,0
3874,899205734787,102400,0
3875,899205837244,102457,-57
3876,899205939587,102343,57
3877,899206041987,102400,0
3878,899206144387,102400,0
3879,899206246787,102400,0
3880,899206349187,102400,0
3885,899206656387,102400,0
3886,899206758787,102400,0
3887,899206861187,102400,0
3888,899206963587,102400,0
3889,899207065987,102400,0
3890,899207168387,102400,0
3891,899207270787,102400,0
3892,899207373187,102400,0
3897,899207885187,102400,0
3898,899207987587,102400,0
3899,899208089987,102400,0
3900,899208192387,102400,0
3901,899208294787,102400,0
3902,899208397187,102400,0
3903,899208499587,102400,0
3904,899208601987,102400,0
3905,899208704527,102540,-140
3906,899208806787,102260,140
3907,899208909187,102400,0
3908,899209011587,102400,0
3909,899209113987,102400,0
3910,899209216387,102400,0
3911,899209318787,102400,0
3912,899209421187,102400,0
3913,899209523587,102400,0
3914,899209625987,102400,0
3915,899209728387,102400,0
3916,899209830787,102400,0
3917,899209933187,102400,0
3918,899210035648,102461,-61
3919,899210138135,102487,-87
3920,899210240387,102252,148
3921,899210342787,102400,0
3922,899210445187,102400,0
3923,899210547587,102400,0
3924,899210649987,102400,0
3925,899210752387,102400,0
3926,899210854787,102400,0
3927,899210957187,102400,0
3928,899211059587,102400,0
3929,899211161987,102400,0
3930,899211264387,102400,0
3931,899211366787,102400,0
3932,899211469187,102400,0
3933,899211571600,102413,-13
3934,899211673987,102387,13
3935,899211776387,102400,0
3938,899212083587,102400,0
3939,899212185987,102400,0
3940,899212288387,102400,0
3944,899212697987,102153,247
3945,899212800387,102400,0
3948,899213107587,102400,0
3949,899213209987,102400,0
3950,899213312387,102400,0
3951,899213414787,102400,0
3952,899213517407,102620,-220
3953,899213619587,102180,220
3966,899214131587,102400,0
3967,899214234023,102436,-36
3968,899214336387,102364,36
3969,899214438801,102414,-14
3970,899214541208,102407,-7
3971,899214643587,102379,21
3972,899214745987,102400,0
3973,899214848387,102400,0
3974,899214950787,102400,0
3975,899215053187,102400,0
3976,899215155587,102400,0
3977,899215257987,102400,0
3978,899215360387,102400,0
3979,899215462787,102400,0
3980,899215565187,102400,0
3981,899215667587,102400,0
3989,899216179733,102546,-146
3990,899216281987,102254,146
3991,899216384387,102400,0
3994,899216691587,102400,0
3995,899216793987,102400,0
3996,899216896387,102400,0
3999,899217203587,102400,0
4000,899217305987,102400,0
4001,899217408387,102400,0
4004,899217715587,102223,177
4005,899217817987,102400,0
4006,899217920387,102400,0
4012,899218227587,102400,0
4013,899218329990,102403,-3
4016,899218534787,102400,0
4017,899218637187,102400,0
4018,899218739731,102544,-144
4019,899218841987,102256,144
4020,899218944387,102400,0
4021,899219046787,102400,0
4024,899219353987,102400,0
4029,899219865987,102400,0
4032,899220070787,102400,0
4036,899220377987,102400,0
4037,899220480387,102400,0
4038,899220582787,102400,0
4041,899220889987,102400,0
4042,899220992387,102400,0
4043,899221094787,102400,0
4046,899221401987,102400,0
4047,899221504387,102400,0
4048,899221606787,102400,0
4049,899221709187,102400,0
4050,899221811587,102400,0
4051,899221913987,102400,0
4052,899222016387,102400,0
4053,899222118787,102400,0
4056,899222425987,102400,0
4057,899222530547,104560,-2160
4058,899222630923,100376,2024
4061,899222937987,102400,0
4062,899223040387,102400,0
4063,899223142787,102400,0
4064,899223245187,102400,0
4065,899223347617,102430,-30
4066,899223449987,102370,30
4067,899223552387,102400,0
4068,899223654787,102400,0
4069,899223757187,102400,0
4070,899223859587,102400,0
4071,899223961987,102400,0
4072,899224064387,102400,0
4075,899224269187,102400,0
4078,899224473987,102400,0
4079,899224576387,102400,0
4080,899224678787,102400,0
4081,899224781187,102400,0
4082,899224883587,102400,0
4083,899224985987,102400,0
4084,899225088387,102400,0
4085,899225190787,102400,0
4086,899225293187,102400,0
4087,899225395587,102400,0
4088,899225497987,102400,0
4089,899225600387,102400,0
4090,899225702787,102400,0
4093,899226009987,102400,0
4094,899226112387,102400,0
4095,899226214787,102400,0
257,899226419587,102400,0
258,899226521987,102400,0
259,899226624387,102400,0
260,899226726787,102400,0
261,899226829187,102400,0
262,899226931587,102400,0
263,899227033987,102400,0
264,899227136387,102400,0
265,899227238787,102400,0
266,899227341187,102400,0
267,899227443587,102400,0
268,899227548084,104497,-2097
271,899227853187,102400,0
272,899227955587,102400,0
273,899228057987,102400,0
274,899228160387,102400,0
275,899228262787,102400,0
276,899228365187,102400,0
277,899228467587,102400,0
278,899228569987,102400,0
279,899228672387,102400,0
280,899228774787,102400,0
281,899228877187,102400,0
282,899228979587,102400,0
283,899229081987,102400,0
284,899229184387,102400,0
285,899229286787,102400,0
286,899229389187,102400,0
287,899229491587,102400,0
288,899229593987,102400,0
289,899229696387,102400,0
290,899229799762,103375,-975
291,899229901187,101425,975
292,899230003587,102400,0
300,899230413187,102400,0
301,899230515587,102400,0
302,899230617987,102400,0
303,899230720415,102428,-28
304,899230823161,102746,-346
305,899230925187,102026,374
310,899231334787,102400,0
311,899231437187,102400,0
312,899231539587,102400,0
313,899231641987,102400,0
314,899231744387,102400,0
315,899231846787,102400,0
316,899231949187,102400,0
317,899232051587,102400,0
318,899232154029,102442,-42
319,899232256387,102358,42
320,899232358787,102400,0
321,899232461187,102400,0
322,899232565610,104423,-2023
325,899232870787,102400,0
326,899232973187,102400,0
327,899233075587,102400,0
328,899233177987,102400,0
329,899233280533,102546,-146
330,899233382787,102254,146
331,899233485187,102400,0
332,899233587587,102400,0
333,899233689987,102400,0
334,899233792387,102400,0
337,899234099587,102139,261
340,899234304387,102400,0
341,899234406787,102400,0
342,899234509187,102400,0
343,899234611587,102400,0
344,899234713987,102400,0
345,899234816387,102400,0
346,899234918787,102400,0
347,899235021187,102400,0
352,899235533187,101607,793
353,899235635587,102400,0
354,899235737987,102400,0
355,899235840387,102400,0
356,899235942787,102400,0
357,899236045187,102400,0
358,899236147587,102400,0
359,899236249987,102400,0
360,899236352387,102400,0
361,899236454787,102400,0
362,899236557187,102400,0
363,899236659587,102400,0
367,899237069187,100248,2152
371,899237478787,102400,0
382,899238605187,102400,0
385,899238912387,102400,0
386,899239014787,102400,0
387,899239117187,102400,0
390,899239424387,102400,0
391,899239526787,102400,0
392,899239629187,102400,0
393,899239731587,102400,0
394,899239833987,102400,0
395,899239936387,102400,0
396,899240041506,105119,-2719
397,899240141187,99681,2719
402,899240448387,102400,0
403,899240550945,102558,-158
404,899240653187,102242,158
407,899240960387,102400,0
408,899241062787,102400,0
409,899241165187,102400,0
412,899241472387,102400,0
413,899241574787,102400,0
414,899241677187,102400,0
415,899241779587,102400,0
416,899241881987,102400,0
417,899241984387,102400,0
418,899242086787,102400,0
419,899242189187,102400,0
422,899242496387,102400,0
427,899243008387,102400,0
428,899243110814,102427,-27
429,899243213187,102373,27
432,899243520387,102400,0
433,899243622787,102400,0
434,899243725187,102400,0
437,899244032387,102367,33
438,899244136575,104188,-1788
439,899244242348,105773,-3373
440,899244344439,102091,309
441,899244441987,97548,4852
442,899244544387,102400,0
443,899244647635,103248,-848
446,899244953987,102400,0
447,899245056387,102400,0
448,899245158861,102474,-74
449,899245261187,102326,74
450,899245363587,102400,0
451,899245465987,102400,0
452,899245568387,102400,0
453,899245670787,102400,0
454,899245773187,102400,0
455,899245875587,102400,0
456,899245977987,102400,0
457,899246080387,102400,0
458,899246182787,102400,0
459,899246285187,102400,0
460,899246387587,102400,0
461,899246489987,102400,0
476,899247104535,102548,-148
477,899247206787,102252,148
478,899247309187,102400,0
479,899247411587,102400,0
480,899247513987,102400,0
481,899247618212,104225,-1825
484,899247923587,102400,0
485,899248025987,102400,0
486,899248128387,102400,0
492,899248742787,102400,0
493,899248845201,102414,-14
