time_interval_authentication (us),time_interval_association (us),time_interval_eapol_first (us),time_interval_eapol_second (us)
1518.7263488769531,8370.87631225586,225467.68188476562,803520.679473877
16708.3740234375,17607.21206665039,195498.46649169922,152649.8794555664
18758.773803710938,18472.671508789062,178086.7576599121,168023.10943603516
36339.759826660156,16934.871673583984,213377.4757385254,174334.04922485352
33984.18426513672,18265.247344970703,84776.8783569336,158424.37744140625
32992.36297607422,204875.46920776367,189089.77508544922,164241.79077148438
8788.108825683594,16212.46337890625,160207.74841308594,237014.2936706543
13399.124145507812,16918.182373046875,196146.96502685547,175013.54217529297
39741.99295043945,94919.20471191406,176169.87228393555,173175.33493041992
4363.059997558594,17662.04833984375,64153.67126464844,172801.01776123047
8711.814880371094,17206.668853759766,269873.14224243164,179035.66360473633
6325.244903564453,17130.374908447266,101511.47842407227,137789.24942016602
7672.309875488281,17459.392547607422,180330.2764892578,213654.0412902832
8680.82046508789,43530.46417236328,69825.64926147461,177800.65536499023
9107.589721679688,18801.68914794922,101847.64862060547,214700.69885253906
22618.770599365234,78053.47442626953,91116.42837524414,166466.23611450195
9131.431579589844,18613.338470458984,114593.505859375,179817.67654418945
18320.083618164062,20248.889923095703,156605.24368286133,181179.04663085938
8647.441864013672,17843.246459960938,87645.05386352539,171782.9704284668
30.994415283203125,17340.18325805664,183115.00549316406,200474.26223754883
8890.628814697266,16317.367553710938,123343.46771240234,213801.86080932617
8809.566497802734,16956.329345703125,109934.80682373047,194447.04055786133
51493.64471435547,17549.991607666016,142092.70477294922,207695.96099853516
10089.874267578125,20487.308502197266,187082.29064941406,186867.71392822266
51050.18615722656,94699.85961914062,17635.822296142578,200273.99063110352
9782.31430053711,17614.364624023438,250689.98336791992,586748.1231689453
8137.226104736328,17430.782318115234,114674.56817626953,195429.32510375977
7808.208465576172,28109.55047607422,111076.83181762695,140771.86584472656
10399.818420410156,20673.274993896484,232152.93884277344,138421.05865478516
11.920928955078125,17535.686492919922,154457.09228515625,192880.63049316406
30.994415283203125,19.073486328125,234329.7004699707,182940.95993041992
56936.74087524414,17273.426055908203,164091.5870666504,217168.33114624023
42252.540588378906,22077.560424804688,163033.00857543945,191607.47528076172
9055.137634277344,20966.529846191406,169515.60974121094,241117.4774169922
8363.723754882812,18765.926361083984,250091.552734375,482704.63943481445
15513.896942138672,16224.384307861328,119574.06997680664,210132.59887695312
40588.37890625,37970.542907714844,105674.26681518555,178260.80322265625
37138.46206665039,15933.513641357422,133497.7149963379,226881.5040588379
3736.0191345214844,16272.06802368164,180511.474609375,210423.46954345703
7975.101470947266,26006.698608398438,106580.25741577148,421679.0199279785
285050.8689880371,17671.585083007812,193216.80068969727,150649.5475769043
30.994415283203125,69429.87442016602,505549.9076843262,548141.0026550293
39141.178131103516,15568.733215332031,144178.8673400879,324680.8052062988
61497.68829345703,19695.758819580078,137772.5601196289,503125.1907348633
56684.017181396484,47593.116760253906,559494.4953918457,199196.33865356445
48172.4739074707,16953.94515991211,109755.9928894043,160593.98651123047
3850.4600524902344,17707.347869873047,404887.19940185547,323462.48626708984
8983.612060546875,41093.82629394531,597140.7890319824,213346.4813232422
88641.64352416992,42843.81866455078,99987.98370361328,398292.54150390625
336170.1965332031,17845.630645751953,155231.95266723633,171790.12298583984
168485.6414794922,38087.36801147461,150799.75128173828,154783.7257385254
8659.36279296875,3774.1661071777344,118660.92681884766,535137.6533508301
41465.75927734375,20670.89080810547,198848.24752807617,222609.0431213379
53126.81198120117,18868.446350097656,165348.05297851562,362265.11001586914
12669.563293457031,16927.719116210938,230262.27951049805,216686.72561645508
9398.460388183594,26049.61395263672,85208.41598510742,176143.64624023438
18262.863159179688,29354.095458984375,350234.5085144043,200197.69668579102
8144.378662109375,66752.43377685547,972306.7283630371,399379.7302246094
15246.868133544922,30117.034912109375,159235.00061035156,230472.08786010742
